,CustomerID,LTDValue,PurchaseFrequency,MostRecentPurchase,PurchaseRecencyDays
93,12458.0,787.4,2,2011-09-29 15:25:00,70
94,12461.0,626.88,1,2011-07-08 10:23:00,154
95,12462.0,937.59,2,2011-11-21 09:11:00,18
96,12463.0,1200.78,4,2011-10-17 13:44:00,52
97,12464.0,957.05,8,2011-11-29 13:33:00,9
98,12465.0,682.1899999999999,2,2011-11-22 16:34:00,16
99,12468.0,657.54,2,2011-06-05 11:36:00,187
102,12473.0,3650.5499999999997,5,2011-11-10 13:46:00,28
104,12475.0,669.38,1,2011-10-17 10:10:00,53
107,12478.0,545.99,1,2011-12-06 09:56:00,3
108,12479.0,473.2,1,2011-11-28 13:26:00,10
109,12480.0,2885.63,4,2011-11-11 14:52:00,27
111,12483.0,1910.98,8,2011-11-22 17:02:00,16
113,12488.0,1244.66,3,2011-11-30 08:50:00,9
114,12489.0,298.93,1,2011-01-07 13:13:00,335
116,12491.0,424.40000000000003,1,2011-11-01 12:18:00,38
117,12492.0,227.21,2,2011-10-07 15:15:00,62
118,12493.0,379.74,2,2011-06-27 10:17:00,165
119,12494.0,1084.1000000000001,7,2011-11-24 09:34:00,15
120,12497.0,953.1,1,2011-09-19 12:29:00,81
121,12498.0,349.70000000000005,3,2011-11-18 12:53:00,20
123,12501.0,2025.39,1,2011-01-07 12:28:00,336
124,12502.0,2995.87,5,2011-09-05 11:52:00,95
125,12504.0,428.04999999999995,2,2011-11-21 16:02:00,17
126,12506.0,73.5,1,2011-04-21 08:54:00,232
127,12507.0,1052.81,3,2011-07-28 17:09:00,133
128,12508.0,398.27,2,2011-11-13 15:37:00,25
129,12509.0,158.5,1,2011-02-28 14:45:00,283
130,12510.0,814.5699999999999,2,2011-07-20 10:15:00,142
131,12512.0,138.03,2,2011-10-04 14:55:00,65
132,12513.0,558.29,1,2011-08-19 10:51:00,112
133,12514.0,1017.68,1,2011-03-17 16:38:00,266
134,12515.0,278.7,1,2010-12-21 15:43:00,352
135,12516.0,1186.06,2,2011-09-23 09:13:00,77
136,12517.0,2322.84,4,2011-11-11 13:57:00,27
137,12518.0,1840.89,5,2011-12-09 10:13:00,0
138,12519.0,286.84,1,2011-10-07 09:26:00,63
139,12520.0,2346.2599999999998,5,2011-09-21 15:23:00,78
140,12521.0,545.68,1,2011-07-20 10:51:00,142
141,12522.0,156.72,2,2011-10-31 15:30:00,38
142,12523.0,1699.77,11,2011-11-20 12:55:00,18
144,12526.0,1172.66,3,2011-12-09 12:09:00,0
145,12527.0,330.71000000000004,3,2011-09-19 11:55:00,81
146,12528.0,1645.48,6,2011-11-30 14:40:00,8
147,12530.0,1500.28,4,2011-10-11 12:34:00,59
148,12531.0,125.22,1,2011-11-25 11:12:00,14
149,12532.0,313.83000000000004,1,2011-11-09 13:47:00,29
150,12534.0,981.18,1,2011-08-01 10:26:00,130
151,12535.0,716.35,2,2011-09-09 08:48:00,91
153,12538.0,363.95,1,2011-11-10 17:16:00,28
156,12541.0,841.18,3,2011-11-10 10:40:00,29
157,12544.0,316.7,1,2011-11-03 16:15:00,35
158,12545.0,832.39,2,2011-09-25 13:39:00,74
159,12546.0,1021.5,2,2011-10-24 12:09:00,46
160,12547.0,151.79999999999998,2,2011-05-26 12:38:00,197
161,12548.0,67.19999999999999,1,2011-06-26 15:35:00,165
162,12550.0,824.83,1,2011-09-21 14:35:00,78
163,12551.0,168.0,1,2010-12-17 11:23:00,357
164,12552.0,317.82,1,2011-10-31 12:11:00,39
165,12553.0,3278.28,10,2011-12-01 16:38:00,7
166,12556.0,603.71,2,2011-10-20 13:06:00,49
168,12558.0,269.96,1,2011-12-02 10:41:00,7
169,12559.0,525.71,2,2011-02-02 09:49:00,310
170,12560.0,1918.01,2,2011-12-04 13:54:00,4
171,12561.0,238.85,1,2011-02-10 11:39:00,302
172,12562.0,3385.7400000000002,7,2011-12-01 17:20:00,7
173,12564.0,402.9,1,2011-03-23 14:55:00,260
174,12565.0,145.92,1,2011-02-24 10:34:00,288
175,12566.0,297.65,1,2011-09-14 14:30:00,85
178,12571.0,519.61,2,2011-10-31 10:19:00,39
179,12572.0,912.42,2,2011-12-01 09:20:00,8
180,12573.0,160.54000000000002,1,2011-04-26 15:52:00,226
181,12574.0,182.45000000000002,1,2011-01-28 09:20:00,315
182,12576.0,1315.83,5,2011-11-04 10:11:00,35
183,12577.0,657.8,3,2011-11-04 13:24:00,34
184,12578.0,2402.51,2,2011-11-18 13:30:00,20
185,12579.0,386.42,1,2011-09-22 17:15:00,77
186,12580.0,379.7,1,2011-04-07 10:24:00,246
187,12581.0,179.71,1,2011-10-31 08:56:00,39
188,12582.0,351.36,2,2011-04-15 08:45:00,238
190,12584.0,2254.15,9,2011-12-06 09:35:00,3
191,12585.0,1824.1,2,2011-04-19 13:39:00,233
192,12586.0,196.94000000000003,1,2011-11-22 16:24:00,16
193,12587.0,104.0,1,2011-12-02 12:47:00,7
194,12588.0,174.89999999999998,1,2011-10-31 15:01:00,38
195,12589.0,574.68,2,2011-11-11 10:19:00,28
197,12591.0,368.85,1,2011-01-26 14:35:00,316
198,12592.0,401.6,2,2011-09-08 15:04:00,91
199,12593.0,382.09999999999997,3,2011-08-23 12:43:00,108
200,12594.0,3208.2200000000003,9,2011-11-02 12:20:00,37
201,12596.0,450.27,2,2011-10-19 13:02:00,50
202,12597.0,3195.22,4,2011-11-20 13:33:00,18
203,12598.0,2807.08,7,2011-11-30 12:18:00,9
204,12599.0,888.58,7,2011-11-10 13:34:00,28
205,12600.0,2311.04,10,2011-11-11 10:29:00,28
206,12601.0,487.06,5,2011-06-03 10:17:00,189
207,12602.0,153.12,1,2011-10-12 11:22:00,58
208,12603.0,613.1999999999999,1,2011-11-18 10:42:00,21
209,12604.0,236.18,2,2011-09-21 14:08:00,78
210,12607.0,1579.51,1,2011-10-10 16:06:00,59
211,12609.0,964.85,3,2011-09-22 16:34:00,77
212,12610.0,1747.54,4,2011-11-17 09:34:00,22
213,12611.0,1193.32,1,2011-10-18 13:12:00,51
214,12612.0,668.0400000000001,1,2011-09-26 15:35:00,73
215,12613.0,3092.38,4,2011-10-13 14:59:00,56
216,12614.0,315.6,1,2011-03-07 10:22:00,277
217,12615.0,2093.19,4,2011-12-07 15:02:00,1
218,12616.0,641.3,2,2011-09-05 15:17:00,94
219,12617.0,355.53,1,2011-11-10 14:39:00,28
220,12618.0,137.31,1,2011-11-18 11:10:00,21
221,12619.0,3335.24,9,2011-11-23 14:52:00,15
222,12620.0,1303.41,3,2011-11-25 10:20:00,14
224,12622.0,162.1,1,2011-04-21 16:39:00,231
225,12623.0,269.1,1,2011-03-08 13:50:00,275
226,12624.0,569.13,2,2011-08-25 15:04:00,105
227,12625.0,2413.82,2,2011-05-12 09:54:00,211
230,12628.0,732.46,3,2011-12-05 13:15:00,3
231,12630.0,1030.88,2,2011-11-30 10:48:00,9
232,12631.0,480.5,1,2011-10-13 13:53:00,56
233,12633.0,1929.98,4,2011-10-12 11:40:00,58
234,12635.0,1509.18,2,2011-09-11 11:04:00,89
236,12638.0,511.69,1,2011-11-06 13:11:00,32
237,12639.0,366.1,1,2011-04-15 12:48:00,238
238,12640.0,994.58,3,2011-11-16 11:52:00,23
239,12641.0,145.9,1,2011-08-16 13:26:00,114
240,12642.0,905.26,3,2011-11-14 15:03:00,24
241,12643.0,3041.64,6,2011-08-03 12:56:00,127
242,12644.0,477.91,1,2011-08-02 10:33:00,129
243,12645.0,1631.18,4,2011-11-06 12:38:00,33
244,12646.0,1346.97,2,2011-12-05 10:14:00,4
246,12648.0,300.05,1,2011-07-08 11:55:00,154
247,12649.0,569.51,3,2011-08-24 14:41:00,106
248,12650.0,242.44000000000003,1,2011-12-06 16:34:00,2
249,12651.0,114.0,1,2011-01-09 12:46:00,334
250,12652.0,793.98,1,2011-01-12 15:00:00,330
251,12653.0,2209.85,2,2011-07-14 10:41:00,148
252,12654.0,529.98,5,2011-11-29 10:10:00,10
253,12656.0,3619.17,5,2011-11-22 13:42:00,16
254,12657.0,1427.18,4,2011-11-28 15:47:00,10
255,12658.0,632.05,1,2011-11-21 10:22:00,18
256,12659.0,73.68,1,2011-11-10 11:53:00,29
257,12660.0,227.1,1,2011-11-28 13:26:00,10
258,12662.0,3543.78,11,2011-12-09 11:59:00,0
260,12665.0,45.0,1,2011-01-19 08:34:00,324
261,12667.0,460.13,1,2011-10-12 17:00:00,57
262,12668.0,3177.15,4,2011-11-28 10:56:00,11
263,12669.0,2564.0299999999997,3,2011-07-12 09:54:00,150
264,12670.0,2744.05,5,2011-11-29 15:23:00,9
265,12672.0,225.89999999999998,1,2011-01-14 09:20:00,329
266,12673.0,574.52,2,2011-12-04 13:55:00,4
267,12674.0,1844.6,4,2011-11-01 12:12:00,38
268,12676.0,1091.39,6,2011-11-15 12:25:00,24
270,12679.0,951.02,4,2011-10-12 12:30:00,58
271,12680.0,790.81,4,2011-12-09 12:50:00,0
275,12684.0,2103.63,7,2011-12-02 09:53:00,7
276,12685.0,2575.08,6,2011-11-11 13:46:00,27
277,12686.0,71.14,1,2010-12-03 09:51:00,371
279,12689.0,1139.61,2,2011-11-14 08:31:00,25
280,12690.0,335.01,1,2011-05-18 09:09:00,205
281,12691.0,927.8,5,2011-11-11 16:49:00,27
282,12693.0,711.91,4,2011-08-04 17:51:00,126
283,12694.0,761.67,2,2011-09-30 13:06:00,69
284,12695.0,582.1,4,2011-12-02 13:22:00,6
285,12697.0,757.59,3,2011-11-11 08:47:00,28
287,12701.0,725.71,2,2011-09-21 10:47:00,79
288,12702.0,201.0,1,2011-11-20 10:36:00,19
289,12703.0,265.55,1,2011-09-29 17:52:00,70
290,12704.0,1740.84,8,2011-12-02 13:15:00,6
292,12707.0,603.42,1,2011-02-21 08:38:00,291
293,12708.0,2442.91,10,2011-11-10 09:52:00,29
295,12710.0,1023.02,3,2011-09-04 12:00:00,96
297,12713.0,794.55,1,2011-12-09 12:16:00,0
299,12715.0,273.86,1,2011-08-25 15:22:00,105
300,12716.0,963.49,2,2011-12-06 08:55:00,3
301,12717.0,830.98,2,2011-07-11 14:47:00,150
302,12718.0,202.25,1,2011-09-29 16:38:00,70
303,12719.0,572.95,2,2011-12-04 13:45:00,4
305,12721.0,2386.13,6,2011-11-08 12:13:00,31
306,12722.0,979.63,4,2011-09-15 14:50:00,84
307,12723.0,707.07,5,2011-12-06 10:19:00,3
308,12724.0,923.41,4,2011-12-04 16:02:00,4
309,12725.0,371.8,1,2010-12-03 15:45:00,370
310,12726.0,2411.1,7,2011-11-11 13:35:00,27
311,12727.0,3440.7,7,2011-11-29 11:46:00,10
312,12728.0,728.33,4,2011-09-29 15:31:00,70
313,12729.0,417.01,1,2011-08-18 11:40:00,113
315,12732.0,218.26000000000002,1,2011-06-13 11:33:00,179
316,12733.0,383.95,1,2011-04-19 16:19:00,233
317,12734.0,110.39999999999999,1,2010-12-22 12:47:00,352
318,12735.0,689.5699999999999,2,2011-01-28 13:37:00,314
319,12736.0,144.0,1,2011-01-11 07:57:00,332
320,12738.0,137.35,1,2010-12-02 18:27:00,371
321,12739.0,975.54,1,2011-09-01 17:45:00,98
322,12740.0,427.6,1,2011-10-07 10:44:00,63
323,12743.0,546.43,2,2011-07-28 16:21:00,133
328,12750.0,275.88,1,2011-08-03 09:13:00,128
331,12754.0,3010.74,3,2011-04-18 09:00:00,235
333,12756.0,112.07999999999998,1,2011-09-14 09:31:00,86
335,12758.0,2791.59,2,2011-08-15 10:22:00,116
336,12759.0,1411.44,3,2011-10-18 14:49:00,51
337,12762.0,1702.52,2,2011-12-02 10:23:00,7
338,12763.0,494.08,2,2011-07-24 14:12:00,137
339,12764.0,1693.88,1,2011-01-27 10:19:00,316
341,12769.0,1143.6,1,2011-04-15 10:25:00,238
342,12770.0,1351.45,1,2011-05-13 09:33:00,210
343,12772.0,752.47,1,2011-10-11 09:19:00,59
344,12775.0,1281.04,5,2011-11-22 16:33:00,16
345,12778.0,693.23,6,2011-11-20 11:30:00,19
347,12781.0,786.74,2,2011-10-07 10:37:00,63
348,12782.0,1938.92,5,2011-12-05 09:16:00,4
349,12783.0,1917.9099999999999,6,2011-12-07 15:56:00,1
350,12784.0,518.42,1,2011-11-24 12:53:00,14
351,12785.0,255.95,1,2010-12-10 13:48:00,363
352,12787.0,418.66,3,2011-11-30 08:44:00,9
353,12789.0,76.85,1,2011-10-05 13:34:00,64
354,12790.0,294.92,1,2011-05-31 14:14:00,191
355,12791.0,177.60000000000002,1,2010-12-01 11:27:00,373
356,12792.0,344.53999999999996,1,2011-03-28 11:36:00,256
357,12793.0,461.48,2,2011-01-09 12:12:00,334
358,12794.0,860.41,2,2011-10-17 14:54:00,52
359,12795.0,318.48,1,2011-11-21 10:27:00,18
360,12797.0,226.03,1,2010-12-09 10:55:00,365
362,12802.0,397.58,1,2011-06-06 09:36:00,186
363,12808.0,455.65000000000003,3,2011-11-03 10:05:00,36
364,12809.0,405.31,1,2011-06-15 10:51:00,177
365,12811.0,458.85,2,2011-03-23 10:55:00,261
366,12812.0,229.64000000000001,1,2011-10-26 09:54:00,44
367,12814.0,85.92,1,2011-08-30 12:11:00,101
368,12815.0,863.46,2,2011-07-15 10:21:00,147
369,12816.0,452.20000000000005,2,2011-09-05 12:41:00,95
370,12817.0,126.03999999999999,1,2011-03-03 16:28:00,280
371,12818.0,1182.0800000000002,1,2011-03-23 12:06:00,261
372,12820.0,942.34,4,2011-12-06 15:12:00,2
373,12821.0,92.72,1,2011-05-09 15:51:00,213
374,12822.0,948.88,2,2011-09-30 10:04:00,70
375,12823.0,1759.5,5,2011-09-26 07:35:00,74
376,12824.0,397.12,1,2011-10-11 12:49:00,59
377,12826.0,1474.72,7,2011-12-07 10:25:00,2
378,12827.0,430.15000000000003,3,2011-12-04 12:17:00,5
379,12828.0,1018.71,6,2011-12-07 08:45:00,2
380,12829.0,293.0,2,2011-01-07 11:13:00,336
382,12831.0,215.05,1,2011-03-22 13:02:00,261
383,12832.0,383.03,2,2011-11-07 13:30:00,31
384,12833.0,417.38,1,2011-07-17 13:46:00,144
385,12834.0,312.38,1,2011-03-02 09:49:00,282
386,12836.0,2612.86,4,2011-10-11 15:10:00,58
387,12837.0,134.1,1,2011-06-19 16:07:00,172
388,12838.0,683.13,2,2011-11-06 12:20:00,33
390,12840.0,2726.77,4,2011-07-19 09:29:00,143
392,12842.0,1118.99,2,2011-09-30 15:33:00,69
393,12843.0,1702.26,8,2011-10-05 12:09:00,65
394,12844.0,325.96000000000004,2,2011-11-10 13:31:00,28
395,12845.0,354.09,4,2011-03-17 13:34:00,266
396,12847.0,871.54,1,2011-11-17 13:16:00,21
397,12849.0,1050.8899999999999,2,2011-11-08 13:41:00,30
398,12851.0,135.18,1,2011-09-04 12:41:00,96
399,12852.0,311.55,1,2011-02-18 08:47:00,294
400,12853.0,1957.1000000000001,6,2011-07-28 11:29:00,134
401,12854.0,1324.5,3,2011-09-22 12:15:00,78
402,12855.0,38.1,1,2010-12-02 09:37:00,372
403,12856.0,2179.93,6,2011-12-02 10:52:00,7
404,12857.0,1106.4,2,2011-05-13 10:20:00,210
405,12863.0,521.2,1,2011-10-18 14:15:00,51
406,12864.0,147.12,1,2011-07-24 13:03:00,137
407,12865.0,1568.23,2,2011-11-13 14:31:00,25
408,12866.0,499.12,1,2011-03-01 14:11:00,282
410,12868.0,1607.0600000000002,6,2011-06-07 10:42:00,185
411,12871.0,380.64,2,2011-09-16 15:07:00,83
412,12872.0,599.97,2,2011-01-17 10:52:00,326
413,12873.0,374.0,1,2011-03-02 14:58:00,281
414,12875.0,343.2300000000001,2,2011-07-19 15:30:00,142
415,12876.0,2053.02,2,2011-10-13 12:26:00,57
417,12878.0,854.99,2,2011-04-17 13:07:00,235
418,12879.0,573.22,3,2011-10-26 12:24:00,44
419,12881.0,298.0,1,2011-03-09 11:44:00,275
420,12882.0,1463.04,2,2011-11-30 16:18:00,8
421,12883.0,703.47,4,2011-11-15 09:32:00,24
422,12884.0,309.05,1,2011-09-12 13:10:00,87
423,12885.0,1175.22,3,2011-10-07 13:40:00,62
424,12886.0,1378.4,2,2011-10-03 10:09:00,67
425,12888.0,354.12,2,2011-05-09 16:02:00,213
426,12890.0,380.46999999999997,1,2011-11-15 17:26:00,23
427,12891.0,331.0,3,2011-06-07 12:31:00,185
428,12893.0,188.14,1,2011-11-09 12:34:00,30
429,12895.0,372.8,2,2011-10-28 13:51:00,41
430,12897.0,216.5,2,2011-05-19 12:13:00,204
432,12902.0,138.68,1,2011-03-20 12:06:00,264
433,12904.0,509.58,2,2011-11-21 14:34:00,17
434,12906.0,2919.81,5,2011-11-28 09:55:00,11
435,12908.0,750.0,2,2011-06-16 15:39:00,175
436,12909.0,2178.67,5,2011-10-31 12:43:00,39
437,12910.0,3075.04,8,2011-11-16 14:28:00,22
438,12912.0,1662.3,5,2011-12-07 08:55:00,2
439,12913.0,2483.63,5,2011-12-05 12:11:00,4
440,12915.0,363.65,2,2011-07-14 11:34:00,148
441,12916.0,3006.15,4,2011-07-24 10:35:00,138
442,12917.0,594.0,1,2011-08-03 16:42:00,127
443,12919.0,1335.19,6,2011-12-01 13:47:00,7
444,12920.0,164.23,1,2011-11-22 15:05:00,16
446,12922.0,405.38,1,2011-07-01 15:35:00,160
447,12923.0,176.97,1,2011-10-06 16:20:00,63
448,12924.0,933.7,4,2011-09-12 13:55:00,87
449,12925.0,694.05,2,2011-12-05 11:11:00,4
450,12928.0,2062.7000000000003,5,2011-11-04 14:24:00,34
451,12929.0,117.85,1,2011-02-01 12:08:00,311
452,12930.0,415.8,2,2011-09-22 15:18:00,77
454,12933.0,607.53,3,2011-11-15 16:38:00,23
455,12935.0,2160.7,7,2011-12-07 17:25:00,1
456,12936.0,1063.9,4,2011-11-22 17:32:00,16
457,12937.0,1504.27,4,2011-11-24 15:05:00,14
458,12938.0,114.14,1,2011-11-14 11:21:00,25
460,12940.0,913.54,2,2011-10-16 12:09:00,54
461,12942.0,683.9,3,2011-07-31 14:39:00,130
462,12944.0,604.51,2,2011-11-04 11:04:00,35
463,12945.0,462.95,1,2011-02-24 14:15:00,287
464,12947.0,1603.99,6,2011-07-19 10:06:00,143
465,12948.0,2064.95,7,2011-11-23 17:10:00,15
467,12950.0,1843.0,3,2011-12-07 13:17:00,1
468,12951.0,1064.07,6,2011-12-01 12:14:00,8
469,12952.0,1387.79,4,2011-12-04 10:35:00,5
470,12953.0,329.85,1,2011-11-30 09:24:00,9
472,12956.0,108.07,1,2011-02-06 16:08:00,305
474,12962.0,266.39,2,2011-12-02 15:55:00,6
475,12963.0,1856.63,8,2011-12-01 12:55:00,7
476,12965.0,771.91,1,2011-09-11 15:31:00,88
477,12966.0,160.18,1,2011-11-30 12:38:00,9
478,12967.0,1660.9,2,2010-12-16 19:10:00,357
479,12968.0,135.95,1,2011-08-19 15:44:00,111
480,12970.0,452.24,4,2011-12-02 14:30:00,6
482,12974.0,144.8,1,2011-05-26 09:33:00,197
483,12976.0,738.6,1,2011-05-12 09:55:00,211
484,12977.0,39.239999999999995,1,2011-07-06 16:40:00,155
486,12981.0,372.21999999999997,2,2011-11-10 12:00:00,29
487,12982.0,390.54,1,2011-04-11 11:51:00,242
488,12984.0,97.5,1,2011-11-21 12:37:00,18
489,12985.0,1239.38,2,2011-12-09 10:46:00,0
490,12987.0,558.7,2,2011-09-27 12:03:00,73
491,12988.0,535.32,1,2011-02-20 14:31:00,291
493,12990.0,409.5,3,2011-11-08 13:01:00,30
494,12991.0,503.76,2,2011-11-16 15:34:00,22
495,12993.0,414.76,4,2011-11-16 15:49:00,22
496,12994.0,974.4200000000001,3,2011-12-05 15:43:00,3
497,12995.0,211.32,1,2011-09-15 15:44:00,84
498,12997.0,1226.89,4,2011-11-17 15:47:00,21
499,12999.0,455.88,3,2011-05-27 13:24:00,195
500,13000.0,534.85,3,2011-08-25 10:43:00,106
502,13002.0,120.94999999999999,1,2011-01-25 15:18:00,317
503,13003.0,149.05,3,2011-08-26 10:50:00,105
505,13005.0,513.7,2,2011-06-19 10:53:00,173
506,13006.0,81.57,1,2011-10-14 13:49:00,55
507,13008.0,229.46999999999997,1,2011-01-20 14:24:00,322
508,13011.0,50.550000000000004,1,2010-12-02 17:22:00,371
509,13012.0,1661.8400000000001,8,2011-11-30 13:05:00,8
511,13014.0,3466.2799999999997,10,2011-11-29 12:27:00,10
512,13015.0,3346.28,5,2011-10-17 13:19:00,52
513,13016.0,789.89,3,2011-09-27 14:08:00,72
514,13017.0,204.0,1,2011-12-02 15:53:00,6
516,13021.0,2616.38,9,2011-12-05 16:37:00,3
517,13023.0,599.9,2,2011-10-06 16:27:00,63
518,13026.0,975.36,5,2011-12-08 16:58:00,0
520,13028.0,661.3199999999999,2,2011-11-17 11:10:00,22
521,13029.0,1247.5,3,2011-11-09 09:13:00,30
522,13030.0,799.48,2,2011-11-28 14:30:00,10
523,13032.0,1010.18,2,2011-10-18 15:54:00,51
524,13033.0,190.55,1,2010-12-17 14:23:00,356
525,13034.0,642.77,2,2011-10-16 12:21:00,54
526,13035.0,921.88,2,2011-09-27 08:57:00,73
527,13037.0,881.07,3,2011-07-24 15:46:00,137
528,13038.0,908.46,3,2011-09-20 14:37:00,79
529,13040.0,676.99,2,2011-12-01 10:38:00,8
530,13043.0,516.42,1,2011-03-11 14:52:00,272
531,13044.0,560.47,1,2011-02-21 15:20:00,290
532,13045.0,305.28000000000003,1,2011-09-01 15:04:00,98
533,13046.0,629.31,2,2011-11-09 08:36:00,30
534,13047.0,3237.54,10,2011-11-08 12:06:00,31
535,13048.0,1835.91,4,2011-11-25 13:23:00,13
536,13049.0,656.6800000000001,2,2011-10-06 15:31:00,63
538,13052.0,348.15000000000003,1,2011-05-11 14:12:00,211
539,13055.0,1214.41,3,2011-09-22 14:26:00,77
540,13058.0,271.40000000000003,3,2011-11-15 12:43:00,24
541,13059.0,183.4,1,2011-04-04 10:40:00,249
542,13060.0,307.53,1,2011-03-31 11:37:00,253
543,13061.0,248.61,1,2011-09-28 16:04:00,71
544,13062.0,346.98,1,2011-06-01 15:12:00,190
545,13064.0,1119.49,4,2011-11-27 12:31:00,12
546,13065.0,205.86,1,2010-12-01 16:52:00,372
547,13066.0,470.8,2,2011-11-15 12:57:00,23
548,13067.0,115.46000000000001,1,2011-09-18 13:38:00,81
549,13068.0,344.0,2,2011-11-29 15:00:00,9
551,13070.0,228.8,1,2011-05-31 13:45:00,191
552,13072.0,177.15,1,2011-03-18 08:12:00,266
553,13075.0,919.61,1,2011-08-02 10:19:00,129
554,13077.0,729.27,4,2011-12-08 19:24:00,0
556,13079.0,220.10000000000002,5,2011-12-05 16:53:00,3
557,13080.0,58.08,1,2011-06-13 14:59:00,178
559,13082.0,3613.63,9,2011-08-05 16:16:00,125
560,13083.0,303.75,2,2011-12-05 15:01:00,3
561,13085.0,416.08000000000004,2,2011-07-05 12:11:00,157
564,13091.0,345.82,1,2011-11-11 15:54:00,27
565,13092.0,477.83,5,2011-09-30 11:18:00,70
568,13095.0,74.39999999999999,1,2011-09-30 12:03:00,70
571,13099.0,207.35999999999999,1,2011-09-01 17:40:00,98
572,13101.0,101.19,1,2011-04-19 14:37:00,233
574,13103.0,243.94,1,2011-10-31 09:38:00,39
575,13104.0,1098.48,6,2011-12-06 13:10:00,2
