,CustomerID,LTDValue,PurchaseFrequency,MostRecentPurchase,PurchaseRecencyDays,Cluster
1434,14298.0,51527.3,44,2011-12-01 13:12:00,7,-3
1482,14367.0,9261.52,16,2011-12-01 13:19:00,7,-3
1503,14401.0,4051.48,13,2011-12-05 13:30:00,3,-3
1515,14415.0,5900.28,13,2011-12-08 14:38:00,0,-3
1602,14527.0,8508.82,55,2011-12-07 12:19:00,2,-3
1608,14534.0,4447.05,18,2011-12-07 12:19:00,2,-3
1632,14562.0,5074.77,18,2011-12-06 11:05:00,3,-3
1661,14606.0,12021.65,91,2011-12-08 19:28:00,0,-3
1662,14607.0,16569.5,14,2011-11-24 10:35:00,15,-3
1689,14646.0,279138.02,72,2011-12-08 12:12:00,1,-3
1706,14667.0,9241.2,25,2011-11-29 11:30:00,10,-3
1713,14680.0,28754.11,16,2011-11-14 16:59:00,24,-3
1718,14688.0,5630.87,21,2011-12-02 12:26:00,7,-3
1735,14709.0,4921.04,13,2011-11-24 15:41:00,14,-3
1753,14733.0,9585.91,12,2011-11-23 15:39:00,15,-3
1754,14735.0,6050.69,31,2011-12-06 12:09:00,3,-3
1797,14796.0,8022.49,17,2011-12-08 15:31:00,0,-3
1800,14800.0,4339.74,12,2011-10-23 12:46:00,47,-3
1830,14849.0,7930.54,25,2011-11-18 10:58:00,21,-3
1867,14895.0,11138.710000000001,20,2011-12-02 09:23:00,7,-3
1879,14911.0,139650.06,200,2011-12-08 15:54:00,0,-3
1897,14944.0,5900.25,12,2011-11-10 09:10:00,29,-3
1937,15005.0,6316.57,28,2011-11-24 12:25:00,15,-3
1964,15039.0,19914.44,47,2011-11-30 11:31:00,9,-3
1968,15044.0,7700.2300000000005,17,2011-11-20 13:20:00,18,-3
1970,15046.0,5213.7699999999995,15,2011-11-30 15:50:00,8,-3
1983,15061.0,54534.14,48,2011-12-06 12:06:00,3,-3
1997,15078.0,9743.11,32,2011-12-02 15:41:00,6,-3
2036,15125.0,11528.48,15,2011-11-14 13:57:00,24,-3
2050,15144.0,6580.44,17,2011-12-01 15:12:00,7,-3
2057,15152.0,4745.69,13,2011-11-30 12:32:00,9,-3
2063,15159.0,18641.010000000002,30,2011-12-08 12:05:00,1,-3
2082,15187.0,4762.18,15,2011-12-08 11:56:00,1,-3
2083,15189.0,16225.39,41,2011-12-08 13:22:00,0,-3
2086,15194.0,7616.53,15,2011-12-06 15:10:00,2,-3
2130,15249.0,6688.46,13,2011-11-08 11:45:00,31,-3
2162,15290.0,7943.22,18,2011-12-05 11:39:00,4,-3
2163,15291.0,4668.3,15,2011-11-14 11:02:00,25,-3
2167,15298.0,4799.9,12,2011-12-07 17:17:00,1,-3
2170,15301.0,5070.35,12,2011-10-20 09:57:00,50,-3
2176,15311.0,60767.9,91,2011-12-09 12:00:00,0,-3
2211,15358.0,8347.2,22,2011-12-05 09:04:00,4,-3
2290,15465.0,7354.62,18,2011-11-20 10:11:00,19,-3
2301,15482.0,11054.96,12,2011-11-24 10:46:00,15,-3
2312,15498.0,13316.4,27,2011-12-07 12:48:00,2,-3
2314,15502.0,10384.93,12,2011-11-24 12:48:00,15,-3
2324,15513.0,14758.220000000001,19,2011-11-06 14:36:00,32,-3
2351,15547.0,4954.84,14,2011-12-02 12:52:00,6,-3
2358,15555.0,4805.17,16,2011-11-27 16:19:00,11,-3
2368,15570.0,4165.52,12,2011-12-02 14:47:00,6,-3
2377,15581.0,3679.9700000000003,13,2011-08-11 09:38:00,120,-3
2390,15601.0,6776.56,14,2011-11-28 15:15:00,10,-3
2402,15615.0,10399.74,23,2011-11-29 14:42:00,9,-3
2419,15640.0,12515.66,15,2011-12-05 14:35:00,3,-3
2461,15694.0,6464.4,13,2011-12-09 09:44:00,0,-3
2479,15719.0,5045.61,13,2011-11-07 12:29:00,32,-3
2493,15738.0,4812.42,16,2011-11-21 08:26:00,18,-3
2517,15769.0,56252.72,26,2011-12-02 13:52:00,6,-3
2542,15804.0,4206.39,13,2011-12-09 12:31:00,0,-3
2543,15805.0,5528.4800000000005,17,2011-11-16 16:32:00,22,-3
2569,15838.0,33643.08,19,2011-11-28 14:00:00,10,-3
2582,15856.0,16387.57,27,2011-12-05 17:09:00,3,-3
2592,15867.0,3812.64,15,2011-12-04 13:32:00,4,-3
2636,15939.0,6100.01,14,2011-09-11 11:30:00,89,-3
2648,15955.0,4416.26,14,2011-11-15 14:15:00,23,-3
2656,15971.0,4194.9,12,2011-11-22 12:50:00,17,-3
2687,16013.0,37130.6,47,2011-12-06 10:36:00,3,-3
2701,16029.0,72882.09,62,2011-11-01 10:27:00,38,-3
2704,16033.0,8816.4,20,2011-12-04 12:44:00,5,-3
2776,16133.0,14589.04,33,2011-12-06 11:24:00,3,-3
2798,16161.0,5575.56,19,2011-12-08 12:10:00,1,-3
2802,16168.0,3787.6,27,2011-11-29 12:45:00,10,-3
2819,16186.0,4006.94,12,2011-11-17 12:43:00,22,-3
2820,16187.0,6911.4400000000005,15,2011-11-08 09:50:00,31,-3
2824,16191.0,5180.52,13,2011-12-07 11:26:00,2,-3
2837,16210.0,21086.3,18,2011-12-08 12:36:00,1,-3
2920,16333.0,26626.8,22,2011-12-02 12:19:00,7,-3
2936,16353.0,6675.71,23,2011-12-06 12:23:00,3,-3
2973,16401.0,4098.32,12,2011-12-08 18:15:00,0,-3
2989,16422.0,34684.4,51,2011-11-22 14:00:00,16,-3
3063,16523.0,9418.470000000001,21,2011-12-08 09:06:00,1,-3
3064,16525.0,13027.45,26,2011-12-07 15:07:00,1,-3
3082,16553.0,5719.82,12,2011-06-29 15:42:00,162,-3
3087,16558.0,8338.49,20,2011-12-09 10:20:00,0,-3
3108,16592.0,4113.68,16,2011-12-05 13:49:00,3,-3
3135,16626.0,4413.1,17,2011-12-09 11:56:00,0,-3
3155,16656.0,8625.8,15,2011-11-17 14:43:00,21,-3
3167,16672.0,8134.9400000000005,20,2011-12-07 16:29:00,1,-3
3175,16684.0,66653.56,28,2011-12-05 14:06:00,3,-3
3186,16700.0,5076.55,13,2011-12-01 11:00:00,8,-3
3187,16701.0,5398.3,13,2011-12-01 11:10:00,8,-3
3188,16705.0,14034.99,20,2011-12-09 12:08:00,0,-3
3195,16713.0,6923.13,15,2011-11-21 12:36:00,18,-3
3204,16722.0,4730.81,13,2011-11-22 13:28:00,16,-3
3210,16729.0,7239.92,21,2011-11-01 14:29:00,37,-3
3221,16745.0,7194.3,17,2011-09-14 11:58:00,86,-3
3222,16746.0,6697.66,18,2011-12-05 12:33:00,4,-3
3252,16779.0,10629.720000000001,22,2011-12-07 14:54:00,1,-3
3279,16814.0,6509.1,21,2011-11-25 13:27:00,13,-3
3298,16839.0,16594.35,34,2011-12-01 09:03:00,8,-3
3301,16843.0,10196.57,16,2011-10-28 09:06:00,42,-3
3341,16904.0,3739.27,15,2011-12-05 13:10:00,3,-3
3356,16923.0,7247.61,19,2011-11-27 13:00:00,11,-3
3363,16931.0,4604.22,21,2011-12-04 13:15:00,4,-3
3372,16945.0,4345.5,19,2011-11-18 11:39:00,21,-3
3421,17017.0,8694.26,20,2011-12-07 09:32:00,2,-3
3459,17068.0,4552.14,21,2011-11-27 13:14:00,11,-3
3508,17139.0,10668.47,12,2011-11-24 10:12:00,15,-3
3577,17238.0,3744.65,17,2011-12-07 11:35:00,2,-3
3580,17243.0,8676.85,26,2011-12-08 13:26:00,0,-3
3620,17306.0,8631.31,19,2011-11-29 12:14:00,10,-3
3626,17315.0,6262.26,36,2011-12-08 12:15:00,1,-3
3672,17377.0,4100.92,20,2011-11-16 11:17:00,23,-3
3674,17381.0,20275.61,29,2011-12-01 11:59:00,8,-3
3682,17389.0,31833.68,34,2011-12-09 09:38:00,0,-3
3692,17404.0,31811.82,13,2011-12-05 16:26:00,3,-3
3704,17419.0,4226.57,12,2011-11-28 13:47:00,10,-3
3711,17428.0,17256.85,28,2011-12-09 09:45:00,0,-3
3727,17450.0,194550.79,46,2011-12-01 13:29:00,7,-3
3770,17511.0,91062.38,31,2011-12-07 10:12:00,2,-3
3822,17581.0,11045.04,25,2011-12-09 12:21:00,0,-3
3842,17611.0,3984.22,15,2011-12-02 13:29:00,6,-3
3844,17613.0,4559.150000000001,14,2011-11-17 10:51:00,22,-3
3874,17652.0,4867.72,12,2011-11-14 12:55:00,24,-3
3893,17675.0,20374.28,31,2011-12-08 18:03:00,0,-3
3895,17677.0,16363.23,30,2011-12-08 09:56:00,1,-3
3903,17690.0,4757.95,15,2011-11-09 15:17:00,29,-3
3918,17706.0,10504.49,17,2011-12-05 13:34:00,3,-3
3928,17719.0,5396.04,15,2011-11-02 10:36:00,37,-3
3936,17730.0,5298.4800000000005,13,2011-12-06 15:43:00,2,-3
3941,17735.0,13110.02,19,2011-12-07 16:47:00,1,-3
3954,17757.0,5605.29,30,2011-12-08 15:31:00,0,-3
3990,17809.0,5411.91,12,2011-11-23 12:59:00,15,-3
3991,17811.0,7837.7300000000005,39,2011-12-05 13:46:00,3,-3
4009,17841.0,40991.57,124,2011-12-08 12:07:00,1,-3
4015,17850.0,5391.21,34,2010-12-02 15:27:00,371,-3
4020,17857.0,26879.04,23,2011-12-05 13:13:00,3,-3
4021,17858.0,5155.66,12,2011-12-04 11:56:00,5,-3
4028,17865.0,10526.32,20,2011-11-09 12:08:00,30,-3
4070,17920.0,4204.1,17,2011-12-05 14:29:00,3,-3
4092,17949.0,58510.48,45,2011-12-08 18:46:00,0,-3
4113,17975.0,4488.81,13,2011-11-24 13:27:00,14,-3
4156,18041.0,4183.39,21,2011-11-28 11:39:00,11,-3
4178,18073.0,3877.5200000000004,12,2011-08-17 14:02:00,113,-3
4200,18102.0,259657.3,60,2011-12-09 11:50:00,0,-3
4205,18109.0,8052.97,26,2011-12-08 11:36:00,1,-3
4212,18118.0,5653.82,26,2011-11-29 11:32:00,10,-3
4251,18172.0,7561.68,20,2011-11-25 11:12:00,14,-3
4271,18198.0,5425.56,17,2011-12-05 14:49:00,3,-3
4290,18223.0,6484.54,14,2011-12-05 09:11:00,4,-3
4292,18225.0,5509.12,12,2011-12-06 13:27:00,2,-3
4296,18229.0,7276.900000000001,20,2011-11-28 09:48:00,11,-3
